date_time,location_id,vehicle_count,average_speed_kmh,congestion_level,weather_condition,road_type,is_holiday
2024-03-01 08:00:00,LOC_001,450,22.5,High,Clear,Highway,0
2024-03-01 08:15:00,LOC_001,480,18.2,High,Clear,Highway,0
2024-03-01 08:30:00,LOC_001,510,15.5,Severe,Clear,Highway,0
2024-03-01 08:45:00,LOC_001,495,17.0,High,Clear,Highway,0
2024-03-01 09:00:00,LOC_001,420,25.4,Moderate,Clear,Highway,0
2024-03-01 09:15:00,LOC_001,380,32.1,Moderate,Clear,Highway,0
2024-03-01 09:30:00,LOC_001,310,45.6,Low,Clear,Highway,0
2024-03-01 08:00:00,LOC_002,210,15.5,Moderate,Rain,City_Center,0
2024-03-01 08:15:00,LOC_002,235,12.0,High,Rain,City_Center,0
2024-03-01 08:30:00,LOC_002,260,9.5,Severe,Rain,City_Center,0
2024-03-01 08:45:00,LOC_002,245,11.2,High,Rain,City_Center,0
2024-03-01 09:00:00,LOC_002,190,18.4,Moderate,Rain,City_Center,0
2024-03-01 09:15:00,LOC_002,150,24.5,Low,Rain,City_Center,0
2024-03-01 08:00:00,LOC_003,120,55.0,Low,Clear,Suburban,0
2024-03-01 08:15:00,LOC_003,135,52.5,Low,Clear,Suburban,0
2024-03-01 08:30:00,LOC_003,150,48.0,Moderate,Clear,Suburban,0
2024-03-01 08:45:00,LOC_003,140,50.5,Low,Clear,Suburban,0
2024-03-01 09:00:00,LOC_003,110,58.2,Low,Clear,Suburban,0
2024-03-02 08:00:00,LOC_001,465,21.0,High,Cloudy,Highway,0
2024-03-02 08:15:00,LOC_001,490,17.5,High,Cloudy,Highway,0
2024-03-02 08:30:00,LOC_001,525,14.8,Severe,Cloudy,Highway,0
2024-03-02 08:45:00,LOC_001,500,16.5,High,Cloudy,Highway,0
2024-03-02 09:00:00,LOC_001,430,24.0,Moderate,Cloudy,Highway,0
2024-03-02 08:00:00,LOC_002,180,19.5,Moderate,Clear,City_Center,0
2024-03-02 08:15:00,LOC_002,210,15.0,High,Clear,City_Center,0
2024-03-02 08:30:00,LOC_002,230,12.5,High,Clear,City_Center,0
2024-03-02 08:45:00,LOC_002,215,14.0,High,Clear,City_Center,0
2024-03-02 09:00:00,LOC_002,165,22.0,Moderate,Clear,City_Center,0
2024-03-03 08:00:00,LOC_001,250,55.5,Low,Clear,Highway,1
2024-03-03 08:15:00,LOC_001,280,50.2,Low,Clear,Highway,1
2024-03-03 08:30:00,LOC_001,320,42.5,Moderate,Clear,Highway,1
2024-03-03 08:45:00,LOC_001,310,44.0,Moderate,Clear,Highway,1
2024-03-03 09:00:00,LOC_001,260,53.0,Low,Clear,Highway,1
2024-03-03 08:00:00,LOC_002,120,28.5,Low,Clear,City_Center,1
2024-03-03 08:15:00,LOC_002,140,25.0,Low,Clear,City_Center,1
2024-03-03 08:30:00,LOC_002,160,22.5,Moderate,Clear,City_Center,1
2024-03-03 08:45:00,LOC_002,155,23.5,Moderate,Clear,City_Center,1
2024-03-03 09:00:00,LOC_002,110,30.0,Low,Clear,City_Center,1
